
For lr 0.00000500 ,rs 0.0010 and bs 600.000000 Train Accuracy 0.3603 and Validation Accuracy 0.3575
For lr 0.00000500 ,rs 0.0010 and bs 1000.000000 Train Accuracy 0.3524 and Validation Accuracy 0.3375
For lr 0.00001000 ,rs 0.0000 and bs 32.000000 Train Accuracy 0.2818 and Validation Accuracy 0.2860
For lr 0.00001000 ,rs 0.0000 and bs 64.000000 Train Accuracy 0.3076 and Validation Accuracy 0.3065
For lr 0.00001000 ,rs 0.0000 and bs 128.000000 Train Accuracy 0.3307 and Validation Accuracy 0.3260
For lr 0.00001000 ,rs 0.0000 and bs 150.000000 Train Accuracy 0.3360 and Validation Accuracy 0.3335
For lr 0.00001000 ,rs 0.0000 and bs 300.000000 Train Accuracy 0.3504 and Validation Accuracy 0.3550
For lr 0.00001000 ,rs 0.0000 and bs 600.000000 Train Accuracy 0.3318 and Validation Accuracy 0.3320
For lr 0.00001000 ,rs 0.0000 and bs 1000.000000 Train Accuracy 0.2920 and Validation Accuracy 0.2900
For lr 0.00001000 ,rs 1.0000 and bs 32.000000 Train Accuracy 0.2822 and Validation Accuracy 0.2880
For lr 0.00001000 ,rs 1.0000 and bs 64.000000 Train Accuracy 0.3078 and Validation Accuracy 0.3055
For lr 0.00001000 ,rs 1.0000 and bs 128.000000 Train Accuracy 0.3307 and Validation Accuracy 0.3265
For lr 0.00001000 ,rs 1.0000 and bs 150.000000 Train Accuracy 0.3358 and Validation Accuracy 0.3335
For lr 0.00001000 ,rs 1.0000 and bs 300.000000 Train Accuracy 0.3506 and Validation Accuracy 0.3555
For lr 0.00001000 ,rs 1.0000 and bs 600.000000 Train Accuracy 0.3315 and Validation Accuracy 0.3340
For lr 0.00001000 ,rs 1.0000 and bs 1000.000000 Train Accuracy 0.2921 and Validation Accuracy 0.2910
For lr 0.00001000 ,rs 10.0000 and bs 32.000000 Train Accuracy 0.2824 and Validation Accuracy 0.2860
For lr 0.00001000 ,rs 10.0000 and bs 64.000000 Train Accuracy 0.3083 and Validation Accuracy 0.3080
For lr 0.00001000 ,rs 10.0000 and bs 128.000000 Train Accuracy 0.3305 and Validation Accuracy 0.3265
For lr 0.00001000 ,rs 10.0000 and bs 150.000000 Train Accuracy 0.3359 and Validation Accuracy 0.3360
For lr 0.00001000 ,rs 10.0000 and bs 300.000000 Train Accuracy 0.3506 and Validation Accuracy 0.3565
For lr 0.00001000 ,rs 10.0000 and bs 600.000000 Train Accuracy 0.3319 and Validation Accuracy 0.3335
For lr 0.00001000 ,rs 10.0000 and bs 1000.000000 Train Accuracy 0.2920 and Validation Accuracy 0.2895
For lr 0.00001000 ,rs 100.0000 and bs 32.000000 Train Accuracy 0.2817 and Validation Accuracy 0.2875
For lr 0.00001000 ,rs 100.0000 and bs 64.000000 Train Accuracy 0.3075 and Validation Accuracy 0.3055
For lr 0.00001000 ,rs 100.0000 and bs 128.000000 Train Accuracy 0.3307 and Validation Accuracy 0.3280
For lr 0.00001000 ,rs 100.0000 and bs 150.000000 Train Accuracy 0.3355 and Validation Accuracy 0.3345
For lr 0.00001000 ,rs 100.0000 and bs 300.000000 Train Accuracy 0.3505 and Validation Accuracy 0.3550
For lr 0.00001000 ,rs 100.0000 and bs 600.000000 Train Accuracy 0.3321 and Validation Accuracy 0.3340
For lr 0.00001000 ,rs 100.0000 and bs 1000.000000 Train Accuracy 0.2922 and Validation Accuracy 0.2900
For lr 0.00001000 ,rs 1000.0000 and bs 32.000000 Train Accuracy 0.2820 and Validation Accuracy 0.2870
For lr 0.00001000 ,rs 1000.0000 and bs 64.000000 Train Accuracy 0.3070 and Validation Accuracy 0.3110
For lr 0.00001000 ,rs 1000.0000 and bs 128.000000 Train Accuracy 0.3302 and Validation Accuracy 0.3290
For lr 0.00001000 ,rs 1000.0000 and bs 150.000000 Train Accuracy 0.3353 and Validation Accuracy 0.3345
